Ano,Código_IBGE,Magreza_total_%
2008,2302008,6.78
2008,2302057,5.9
2008,2302107,5.72
2008,2302206,3.96
2008,2302305,0.0
2008,2302404,5.84
2008,2302503,4.4
2008,2302602,4.37
2008,2302701,0.0
2008,2302800,6.029999999999999
2008,2302909,5.33
2008,2303006,5.9399999999999995
2008,2303105,6.859999999999999
2008,2303204,5.449999999999999
2008,2303303,4.949999999999999
2008,2303402,4.16
2008,2303501,0.0
2008,2303600,0.0
2008,2303659,5.2700000000000005
2008,2303709,5.5600000000000005
2008,2303808,7.14
2008,2303907,6.32
2008,2303931,6.6899999999999995
2008,2303956,5.7
2008,2304004,3.66
2008,2304103,4.55
2008,2304202,6.98
2008,2304236,4.43
2008,2304251,4.49
2008,2304269,6.15
2008,2304277,3.23
2008,2304285,4.029999999999999
2008,2304301,4.5600000000000005
2008,2304350,7.95
2008,2304400,4.09
2008,2304459,3.1199999999999997
2008,2304509,5.73
2008,2304608,7.5600000000000005
2008,2304657,3.7699999999999996
2008,2304707,8.05
2008,2304806,8.53
2008,2304905,5.859999999999999
2008,2304954,4.9
2008,2305001,4.24
2008,2305100,3.4499999999999997
2008,2305209,6.699999999999999
2008,2305233,3.0
2008,2305266,4.13
2008,2305308,4.03
2008,2305332,5.62
2008,2305357,3.41
2008,2305407,5.51
2008,2305506,5.84
2008,2305605,4.64
2008,2305654,5.67
2008,2305704,6.470000000000001
2008,2305803,0.0
2008,1709807,4.99
2008,1400282,5.1899999999999995
2008,2306108,8.82
2008,2306207,3.63
2008,2306256,3.39
2008,2306306,5.57
2008,2306405,4.88
2008,2306504,22.0
2008,2306553,3.75
2008,2306603,7.26
2008,2306702,5.55
2008,2306801,3.2399999999999998
2008,2306900,5.33
2008,2307007,4.33
2008,2307106,3.75
2008,2307205,0.0
2008,2307254,2.32
2008,2307304,5.71
2008,2307403,3.55
2008,2307502,13.22
2008,2307601,3.04
2008,2307635,8.8
2008,2307650,6.16
2008,2307700,4.43
2008,2307809,7.38
2008,2307908,6.55
2008,2308005,7.209999999999999
2008,2308104,6.44
2008,2308203,3.34
2008,2308302,3.29
2008,2308351,6.11
2008,2308377,4.84
2008,2308401,4.53
2008,2308500,9.49
2008,2308609,33.9
2008,2308708,4.949999999999999
2008,2308807,4.859999999999999
2008,2308906,6.22
2008,2309003,4.8100000000000005
2008,2309102,3.9699999999999998
2008,1714880,0.0
2008,2309300,2.25
