Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,1714203,77,5.4,17.6,506, 25 ,1,16
2008,1714302,88.6,0.7,10.7,148, 13 ,1,6
2008,1714880,74.6,5.8,19.6,518, 29 ,1,19
2008,1715002,85.3,8.4,6.3,207, 15 ,1,6
2008,1715101,82.3,8.2,9.5,233, 16 ,1,9
2008,1715150,88.6,4.9,6.5,125, 12 ,1,5
2008,1715259,81.3,5.2,13.5,105, 8 ,1,4
2008,1715507,92.7,1.8,5.5,72, 7 ,1,5
2008,1715705,83,3.7,13.3,143, 13 ,1,6
2008,1715754,77.1,9.5,13.4,373, 12 ,1,13
2008,1716109,74.3,10.6,15.1,2849, 141 ,8,100
2008,1716208,81.2,8.6,10.2,335, 19 ,1,11
2008,1716307,92.3,6.2,1.5,286, 10 ,1,11
2008,1716505,81.5,7.7,10.8,775, 35 ,2,27
2008,1716604,73.7,13.1,13.2,305, 14 ,1,9
2008,1716653,96.3,0,3.7,237, 11 ,1,9
2008,1716703,67.9,11.3,20.8,395, 21 ,1,13
2008,1717008,95.1,1.2,3.7,250, 12 ,1,8
2008,1717206,75.9,8.3,15.8,141, 14 ,1,6
2008,1717503,79.6,8.1,12.3,234, 24 ,1,12
2008,1717800,82.8,8.6,8.6,170, 13 ,1,6
2008,1717909,88.4,5.2,6.4,327, 15 ,1,11
2008,1718006,82.9,5.3,11.8,158, 12 ,1,6
2008,1718204,83.2,7.5,9.3,2495, 100 ,6,81
2008,1718303,77.8,12.5,9.7,353, 16 ,1,12
2008,1718402,94.5,1.2,4.3,171, 10 ,1,7
2008,1718451,90.3,4,5.7,132, 12 ,1,6
2008,1718501,87.3,4.7,8,166, 11 ,1,6
2008,1718550,83.8,5.7,10.5,250, 16 ,1,9
2008,1718659,82.8,6.5,10.7,92, 6 ,1,3
2008,1718709,87.5,0,12.5,80, 10 ,1,3
2008,1718758,85.6,3.9,10.5,188, 14 ,1,8
2008,1718808,92.1,3.2,4.7,193, 14 ,1,6
2008,1718840,87.2,2.6,10.2,165, 13 ,1,6
2008,1718865,79.2,9.2,11.6,320, 16 ,1,11
2008,1718881,82.7,7.3,10,115, 12 ,1,5
2008,1718899,77.5,5,17.5,82, 8 ,1,5
2008,1718907,83.5,5.7,10.8,181, 12 ,1,7
2008,1719004,87.7,5.8,6.5,159, 10 ,1,4
2008,1720002,90.3,6.5,3.2,126, 9 ,1,5
2008,1720101,85.5,7.6,6.9,174, 15 ,1,7
2008,1720150,93.1,1.1,5.8,91, 11 ,1,5
2008,1720200,86.3,4.4,9.3,186, 14 ,1,7
2008,1720259,87.1,6.5,6.4,133, 12 ,2,6
2008,1720309,93,0.9,6.1,224, 12 ,1,8
2008,1720499,85.6,7,7.4,269, 13 ,1,9
2008,1720655,81.1,6.1,12.8,313, 18 ,1,10
2008,1720804,77.6,11.2,11.2,397, 20 ,1,13
2008,1720853,95.2,0,4.8,49, 8 ,1,3
2008,1720903,67,17,16,411, 18 ,1,14
2008,1720937,88.6,1.3,10.1,83, 8 ,1,3
2008,1720978,91.2,2.4,6.4,124, 6 ,1,6
2008,1721000,77.1,8.8,14.1,10245, 516 ,21,313
2008,1721109,77.5,3.8,18.7,310, 25 ,1,11
2008,1721208,71.8,12.8,15.4,1390, 54 ,3,41
2008,1721257,94.2,3.8,2,57, 7 ,1,3
2008,1721307,84.6,4.6,10.8,71, 8 ,1,3
2008,1722081,86.3,7.2,6.5,487, 39 ,2,21
2008,1722107,77.7,3.7,18.6,628, 33 ,2,22
2008,2100055,76.5,7.4,16.1,4396, 180 ,8,111
2008,2100105,77.9,14.6,7.5,200, 7 ,1,7
2008,2100154,84.6,1.3,14.1,299, 18 ,2,7
2008,2100204,50.4,28.1,21.5,605, 34 ,2,15
2008,2100303,83.3,5.1,11.6,593, 35 ,1,16
2008,2100402,89.4,1,9.6,411, 34 ,2,15
2008,2100436,66.4,17.5,16.1,840, 25 ,1,16
2008,2100477,80.7,7.1,12.2,759, 28 ,1,17
2008,2100501,85.7,11.5,2.8,329, 21 ,1,11
2008,2100550,69,1.1,29.9,273, 12 ,1,7
2008,2100600,64.7,12.2,23.1,1146, 39 ,3,26
2008,2100709,78.7,4.3,17,678, 36 ,1,20
2008,2100808,84.4,4.4,11.2,740, 40 ,3,22
2008,2100832,72,7,21,704, 44 ,2,22
2008,2100873,62.8,1.9,35.3,431, 20 ,1,12
