Ano,Código_IBGE,Aprovação_Rural,Aprovação_Urbana,Reprovação_Rural,Reprovação_Urbana,Abandono_Rural,Abandono_Urbana,Matrículas_Rural,Matrículas_Urbana,Docentes_Rural,Docentes_Urbana,Estabelecimentos_Rural,Estabelecimentos_Urbana,Turmas_Rural,Turmas_Urbana
2008,2106805,79.6,79.2,5.5,1,14.9,19.8,239,739, 8 , 30 ,1,2,7,21
2008,2106904,79.7,80.1,2.9,6.4,17.4,13.5,72,1127, 6 , 29 ,1,2,3,25
2008,2107001,60,77.6,20,11,20,11.4,21,258, 7 , 18 ,1,1,3,8
2008,2107209,96.8,93.5,0,3,3.2,3.5,93,368, 7 , 33 ,1,2,3,13
2008,2107308,92.5,63.7,7.5,20,0,16.3,40,138, 9 , 16 ,1,2,3,7
2008,2107407,85.7,84.2,1.3,5.9,13,9.9,155,583, 12 , 33 ,2,2,7,19
2008,2107456,88,83.3,4.2,4.6,7.8,12.1,194,607, 12 , 34 ,2,2,6,19
2008,2107506,73.9,61.6,9.3,12.1,16.8,26.3,805,2808, 42 , 116 ,3,4,19,66
2008,2107605,80.3,85.7,6.1,8,13.6,6.3,68,628, 5 , 33 ,1,3,2,19
2008,2107803,79.2,77.5,11,10.1,9.8,12.4,414,891, 25 , 62 ,1,3,13,30
2008,2108009,79.9,84.5,0.6,6.2,19.5,9.3,161,800, 11 , 43 ,2,3,6,27
2008,2108058,89.5,86.7,0.3,2.9,10.2,10.4,400,510, 39 , 21 ,6,1,20,12
2008,2108207,72.1,63.3,2.1,7.3,25.8,29.4,140,1813, 11 , 90 ,2,3,6,47
2008,2108256,86.7,80.6,8.1,5.6,5.2,13.8,406,472, 21 , 20 ,4,1,16,13
2008,2108306,75,70.6,5.1,1.6,19.9,27.8,197,1364, 12 , 49 ,2,2,7,32
2008,2108405,67.1,90.3,0,3,32.9,6.7,74,598, 5 , 24 ,1,1,3,15
2008,2108454,75.8,70.3,0.3,6.3,23.9,23.4,405,622, 19 , 29 ,2,2,10,16
2008,2108504,71.6,66.5,9,10.6,19.4,22.9,408,1265, 21 , 49 ,3,4,12,32
2008,2108603,74.7,71.2,3.6,5,21.7,23.8,1607,3512, 53 , 136 ,11,7,43,90
2008,2108900,83.1,79.2,1.5,7.1,15.4,13.7,476,544, 48 , 24 ,4,2,29,16
2008,2109056,72.9,89.5,17.1,3.5,10,7,130,261, 5 , 15 ,1,1,4,7
2008,2109106,87.4,76.5,3.1,6.8,9.5,16.7,296,1695, 18 , 55 ,2,2,10,40
2008,2109205,85.6,85.6,2.1,5.3,12.3,9.1,155,514, 10 , 21 ,2,2,6,13
2008,2109270,66.7,74,1.6,5.6,31.7,20.4,256,656, 6 , 17 ,1,1,6,14
2008,2109502,70.8,63.9,8.1,14.5,21.1,21.6,164,623, 10 , 25 ,2,1,6,16
2008,2109551,85.2,63.6,10.2,8.9,4.6,27.5,113,317, 9 , 15 ,2,1,6,8
2008,2109601,71.7,74.4,5.9,10.7,22.4,14.9,325,1854, 20 , 103 ,3,5,11,52
2008,2109809,73.4,69.9,3.8,5.8,22.8,24.3,189,1308, 14 , 58 ,2,4,6,33
2008,2109908,70,76.2,8.8,4.5,21.2,19.3,578,4307, 41 , 251 ,5,14,17,124
2008,2110005,69.2,81.4,3.3,4.2,27.5,14.4,947,2317, 34 , 84 ,6,5,30,59
2008,2110104,86.2,88.3,0,1,13.8,10.7,116,1040, 15 , 73 ,1,1,6,27
2008,2110203,81.8,73.1,5.3,6.1,12.9,20.8,189,1321, 13 , 61 ,1,2,6,33
2008,2110237,84.4,72.9,5.7,6,9.9,21.1,197,174, 9 , 5 ,1,1,5,5
2008,2110302,82.3,85.9,2.2,3.9,15.5,10.2,235,400, 13 , 19 ,2,1,8,12
2008,2110609,78.6,81,0.9,5.5,20.5,13.5,668,778, 55 , 53 ,7,2,30,25
2008,2110658,82.1,70.9,0,5.7,17.9,23.4,65,184, 5 , 10 ,1,1,3,5
2008,2110708,79.2,77.3,4.7,10.3,16.1,12.4,282,1310, 10 , 54 ,1,2,6,32
2008,2110807,83.3,74.2,6.3,6.5,10.4,19.3,52,62, 4 , 4 ,1,1,3,3
2008,2110856,64.5,71.3,8.2,4.7,27.3,24,115,350, 5 , 15 ,1,1,3,9
2008,2110906,76.6,72.1,13.1,15.2,10.3,12.7,150,295, 9 , 22 ,2,1,6,10
2008,2111029,99.3,90.1,0.7,7.7,0,2.2,147,277, 13 , 14 ,3,1,7,6
2008,2111078,63.9,69.8,7.8,6.2,28.3,24,167,477, 20 , 26 ,2,1,6,14
2008,2111102,0,59.1,100,15.1,0,25.8,0,1450, -   , 69 ,0,2,0,37
2008,2111201,75.4,70.5,4.4,9.2,20.2,20.3,1423,1827, 81 , 79 ,5,4,42,45
2008,2111300,69.7,71.8,10.8,11.7,19.5,16.5,3442,50441, 176 ," 2,034 ",11,58,89,"1,214"
2008,2111532,67.4,85.9,0,2.3,32.6,11.8,45,572, 4 , 28 ,1,1,3,16
2008,2111631,65.7,67.7,9.7,11.5,24.6,20.8,141,99, 9 , 5 ,2,1,6,3
2008,2111672,100,97.7,0,0,0,2.3,38,173, 3 , 8 ,1,1,2,5
