Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,2907905,97,0,3,100, 9 ,1,3
2008,2908408,75.6,8.6,15.8,839, 81 ,6,31
2008,2908903,82.7,11.6,5.7,286, 22 ,1,8
2008,2909000,100,0,0,0, -   ,0,0
2008,2909307,85.6,2.9,11.5,139, 7 ,1,5
2008,2909901,91.9,4,4.1,522, 19 ,2,14
2008,2910107,88.5,9,2.5,81, 23 ,2,5
2008,2910503,75,0,25,5, 6 ,1,1
2008,2910602,74.1,11.2,14.7,375, 22 ,2,14
2008,2910800,68.4,10.2,21.4,2316, 141 ,7,70
2008,2911709,86.9,9.3,3.8,264, 26 ,1,8
2008,2912400,89,1.8,9.2,167, 9 ,1,5
2008,2913002,89.3,4.9,5.8,208, 14 ,1,7
2008,2913457,74.4,1.5,24.1,195, 17 ,1,7
2008,2913606,59,21,20,195, 17 ,1,6
2008,2914406,89.5,3.5,7,178, 14 ,1,6
2008,2916005,73.2,19.5,7.3,41, 10 ,1,3
2008,2916906,75.3,2.7,22,77, 11 ,1,4
2008,2917003,79.5,1.5,19,214, 12 ,1,7
2008,2917201,79.1,16.6,4.3,305, 37 ,2,12
2008,2917508,94.2,5.1,0.7,348, 13 ,1,9
2008,2917706,58.7,17.7,23.6,474, 20 ,1,14
2008,2918605,83.9,3.2,12.9,93, 14 ,1,6
2008,2919157,70,3.5,26.5,256, 9 ,1,7
2008,2919504,91.6,5.5,2.9,876, 101 ,6,36
2008,2920403,74.7,5.3,20,337, 24 ,2,13
2008,2920502,79.4,7.1,13.5,126, 13 ,1,4
2008,2920601,84.9,3.8,11.3,376, 27 ,2,14
2008,2921005,67.3,6.1,26.6,343, 25 ,1,9
2008,2921500,84.4,1.6,14,538, 18 ,1,11
2008,2921708,78.7,8.3,13,355, 23 ,2,11
2008,2922300,79.8,7.7,12.5,502, 17 ,1,15
2008,2923704,82.6,7.6,9.8,842, 39 ,6,28
2008,2923803,75,0,25,32, 9 ,1,2
2008,2923902,65.8,9.6,24.6,78, 12 ,1,3
2008,2924009,88,2.2,9.8,95, 17 ,2,4
2008,2924207,97.8,0,2.2,95, 9 ,1,3
2008,2924603,73.2,2.2,24.6,188, 17 ,1,8
2008,2925303,76.8,1,22.2,767, 49 ,3,22
2008,2925402,85.7,5.1,9.2,239, 20 ,1,8
