UF,Município,Código IBGE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,Matriz de Camaragibe,2705101,4776144.58,6058622.140000001,7518694.55,8329452.3,11345987.42,11707797.57,12463006.28,14112419.43,15530122.02,16449450.12,15173962.309999999,17455071.55,18815310.04,18357124.73,23133616.86,41100125.64,23626136.91
AL,Messias,2705200,3583729.0,5140553.62,5786450.59,6798885.6,9233448.51,9621696.95,10415899.959999999,11620486.29,12341718.91,13390101.48,13063125.38,14716896.07,15285151.25,13989074.26,17323419.419999998,23380298.06,15225797.25
AL,Minador do Negrão,2705309,1768208.27,1863052.77,1950030.4999999998,2313557.0300000003,3092459.68,3311097.0100000002,3638204.76,4048029.66,4288793.68,4761006.94,4220227.14,6529720.88,7201115.5600000005,6389881.17,6580804.25,10078337.75,7876115.0200000005
AL,Monteirópolis,2705408,2350559.95,2989522.85,3227114.4,3515169.2199999997,4524964.25,4735345.46,5092514.109999999,5816132.91,6301120.46,6389806.17,5619386.63,6668258.28,6971326.87,7180940.3100000005,8186298.1,12470712.34,9586547.33
AL,Murici,2705507,6322792.7,7488706.59,9069328.58,9961887.34,12964360.08,13327106.83,15993830.17,18528939.06,19430804.34,21419241.2,19944039.31,24246969.05,25029875.63,23924788.9,31682891.64,46241841.22,36462038.16
AL,Novo Lino,2705606,3411464.68,4261609.5600000005,4616469.72,5187846.0200000005,6527217.67,7010252.32,7179541.25,7663631.05,8693824.34,9297708.200000001,7911375.89,10426205.99,11009906.27,11501428.6,15126334.98,24568477.02,19246278.96
AL,Olho D Água Grande,2705903,1631007.5899999999,1979615.45,2284197.98,2795522.35,3542086.6799999997,3369919.46,3585786.07,4235736.49,4927007.76,5257547.69,4869161.76,5886469.0,6177860.75,5618901.99,6749167.14,11591935.45,11782827.11
AL,Olho D Água das Flores,2705705,4518909.600000001,5806532.14,5968245.83,6503915.489999999,8668322.97,8750548.52,9520021.23,11761907.14,12932725.06,13838534.13,13165915.48,14102561.930000002,15353160.27,14542239.93,19992074.09,30063938.95,21879286.45
AL,Olho D Água do Casado,2705804,2366432.84,2937196.82,3144386.2199999997,3779986.63,5029014.86,5462376.86,5711839.34,6302279.51,6537995.71,6573606.35,6260622.65,7330882.44,7696517.53,7430402.45,9461308.22,13258561.059999999,8523105.95
AL,Olivença,2706000,3297145.4899999998,4179721.3,4662892.9799999995,5591335.54,7190999.95,7654206.359999999,7828440.260000001,8251181.82,8690368.21,9882413.719999999,9454926.49,10894697.22,11785043.1,10839984.610000001,14636972.37,22304189.47,14306367.719999999
AL,Ouro Branco,2706109,3160116.61,3688765.5,3965920.33,4614402.03,5937258.45,6399299.88,6886000.67,7670441.46,8848259.39,9986029.07,9017030.06,11193572.57,12668102.47,11943279.12,14005280.41,20183408.31,15309326.07
AL,Palestina,2706208,1728070.09,2335749.9,2432678.44,2632659.49,3464804.65,3603877.48,4231685.4,4856147.67,5575040.36,5179671.84,4254815.19,5342363.41,5328255.96,5158885.4,6110209.8100000005,7322439.6,4485675.16
AL,Palmeira dos Índios,2706307,9504873.52,11931017.71,13039116.18,15664434.89,22968306.93,26279946.400000002,30263358.69,35391789.080000006,42110635.6,47603897.97,40452960.96,48128014.589999996,51555743.480000004,50721505.33,60265731.39,80657940.54,49499211.92
AL,Pariconha,2706422,2162359.76,2861068.05,3344533.3800000004,3831599.39,5069516.62,5469721.92,5753169.59,6853062.68,7611740.93,7625213.64,7343019.7700000005,8284601.96,8640352.57,8290898.62,10885577.3,13655864.26,9254883.719999999
AL,Paripueira,2706448,1623934.0,2124819.64,2170317.4299999997,3198658.72,4805012.42,5248412.32,5971263.3,7134586.1,8015739.6,9293409.76,8654195.7,10433713.59,12277448.0,11938474.299999999,15069281.12,18981625.86,13469834.69
AL,Passo de Camaragibe,2706505,3280017.7199999997,4287057.01,5165795.33,6809930.15,8537144.66,9013362.02,9813212.05,10553359.11,11807423.23,13620120.05,11865576.24,14415657.46,14761446.66,13450387.53,16215664.27,21592310.599999998,12879111.790000001
AL,Paulo Jacinto,2706604,1605927.3399999999,2082876.62,2409472.58,2484971.96,3386967.25,3509921.3,3681381.18,4029992.8499999996,4405577.83,5235143.61,4810896.23,5597346.24,6101062.93,5615461.79,6974952.450000001,8735387.67,4943397.71
