Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
26,Pernambuco,PE,2616506,Xexéu,Nordeste,-8.803776500000001,-35.6271165
27,Alagoas,AL,2700102,Água Branca,Nordeste,-9.261361,-37.936105
27,Alagoas,AL,2700201,Anadia,Nordeste,-9.683021,-36.30527
27,Alagoas,AL,2700300,Arapiraca,Nordeste,-9.754866,-36.661471
27,Alagoas,AL,2700409,Atalaia,Nordeste,-9.502959,-36.021932
27,Alagoas,AL,2700508,Barra de Santo Antônio,Nordeste,-9.40381,-35.511769
27,Alagoas,AL,2700607,Barra de São Miguel,Nordeste,-9.826136,-35.883778
27,Alagoas,AL,2700706,Batalha,Nordeste,-9.673381,-37.126548
27,Alagoas,AL,2700805,Belém,Nordeste,-9.571535,-36.492841
27,Alagoas,AL,2700904,Belo Monte,Nordeste,-9.826994,-37.278717
27,Alagoas,AL,2701001,Boca da Mata,Nordeste,-9.645205,-36.211666
27,Alagoas,AL,2701100,Branquinha,Nordeste,-9.247806,-36.015201
27,Alagoas,AL,2701209,Cacimbinhas,Nordeste,-9.40047,-36.990432999999996
27,Alagoas,AL,2701308,Cajueiro,Nordeste,-9.399589,-36.152431
27,Alagoas,AL,2701357,Campestre,Nordeste,-8.848163,-35.566003
27,Alagoas,AL,2701407,Campo Alegre,Nordeste,-9.779861,-36.357579
27,Alagoas,AL,2701506,Campo Grande,Nordeste,-9.955423,-36.792608
27,Alagoas,AL,2701605,Canapi,Nordeste,-9.117357,-37.60117
27,Alagoas,AL,2701704,Capela,Nordeste,-9.415041,-36.082583
27,Alagoas,AL,2701803,Carneiros,Nordeste,-9.483295,-37.375712
27,Alagoas,AL,2701902,Chã Preta,Nordeste,-9.255605,-36.298334
27,Alagoas,AL,2702009,Coité do Nóia,Nordeste,-9.633484,-36.584493
27,Alagoas,AL,2702108,Colônia Leopoldina,Nordeste,-8.914465,-35.722026
27,Alagoas,AL,2702207,Coqueiro Seco,Nordeste,-9.637147,-35.799377
27,Alagoas,AL,2702306,Coruripe,Nordeste,-10.124996,-36.176062
27,Alagoas,AL,2702355,Craíbas,Nordeste,-9.616804,-36.768467
27,Alagoas,AL,2702405,Delmiro Gouveia,Nordeste,-9.384116,-37.997756
27,Alagoas,AL,2702504,Dois Riachos,Nordeste,-9.384645,-37.096502
27,Alagoas,AL,2702553,Estrela de Alagoas,Nordeste,-9.388897,-36.761683
27,Alagoas,AL,2702603,Feira Grande,Nordeste,-9.894424,-36.679326
27,Alagoas,AL,2702702,Feliz Deserto,Nordeste,-10.292494,-36.302858
27,Alagoas,AL,2702801,Flexeiras,Nordeste,-9.278868,-35.723525
27,Alagoas,AL,2702900,Girau do Ponciano,Nordeste,-9.884041,-36.831592
27,Alagoas,AL,2703007,Ibateguara,Nordeste,-8.97372,-35.927996
27,Alagoas,AL,2703106,Igaci,Nordeste,-9.537678,-36.637191
27,Alagoas,AL,2703205,Igreja Nova,Nordeste,-10.126724,-36.658151
27,Alagoas,AL,2703304,Inhapi,Nordeste,-9.222095,-37.748065
27,Alagoas,AL,2703403,Jacaré dos Homens,Nordeste,-9.634872,-37.205575
27,Alagoas,AL,2703502,Jacuípe,Nordeste,-8.83951,-35.459074
27,Alagoas,AL,2703601,Japaratinga,Nordeste,-9.087464,-35.263403
27,Alagoas,AL,2703700,Jaramataia,Nordeste,-9.659731,-37.001548
27,Alagoas,AL,2703759,Jequiá da Praia,Nordeste,-10.009259,-36.023279
27,Alagoas,AL,2703809,Joaquim Gomes,Nordeste,-9.137289,-35.751886
27,Alagoas,AL,2703908,Jundiá,Nordeste,-8.944022,-35.554683
27,Alagoas,AL,2704005,Junqueiro,Nordeste,-9.920155,-36.474737
27,Alagoas,AL,2704104,Lagoa da Canoa,Nordeste,-9.829401,-36.739562
27,Alagoas,AL,2704203,Limoeiro de Anadia,Nordeste,-9.738967,-36.501585
27,Alagoas,AL,2704302,Maceió,Nordeste,-9.647684,-35.733926
27,Alagoas,AL,2704401,Major Isidoro,Nordeste,-9.532656,-36.986204
27,Alagoas,AL,2704500,Maragogi,Nordeste,-9.011828,-35.222512
27,Alagoas,AL,2704609,Maravilha,Nordeste,-9.230449,-37.352419
27,Alagoas,AL,2704708,Marechal Deodoro,Nordeste,-9.709715,-35.896731
27,Alagoas,AL,2704807,Maribondo,Nordeste,-9.580865,-36.304057
27,Alagoas,AL,2704906,Mar Vermelho,Nordeste,-9.447393,-36.388076
27,Alagoas,AL,2705002,Mata Grande,Nordeste,-9.118243,-37.732298
27,Alagoas,AL,2705101,Matriz de Camaragibe,Nordeste,-9.154373,-35.524302
27,Alagoas,AL,2705200,Messias,Nordeste,-9.393843,-35.839182
27,Alagoas,AL,2705309,Minador do Negrão,Nordeste,-9.312358,-36.869553
27,Alagoas,AL,2705408,Monteirópolis,Nordeste,-9.602565,-37.246172
